model_id,permaslug,variant,endpoint_id,provider_name,pricing_key,value
aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,openai:cached_prompt_tokens,0.0000002
aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,openai:completion_tokens,0.0000016
aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,openai:prompt_tokens,0.0000008
aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,openai:cached_prompt_tokens,0.00000075
aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,openai:completion_tokens,0.000006
aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,openai:prompt_tokens,0.000003
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,openai:cached_prompt_tokens,0.00000018
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,openai:completion_tokens,0.0000014
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,openai:prompt_tokens,0.0000007
aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,openai:completion_tokens,1.6e-06
aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,openai:prompt_tokens,8e-07
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.0000025
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.0000003
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.0000025
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.0000003
amazon/nova-lite-v1,amazon/nova-lite-v1,standard,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.00000024
amazon/nova-lite-v1,amazon/nova-lite-v1,standard,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.00000006
amazon/nova-lite-v1,amazon/nova-lite-v1,standard,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.00000024
amazon/nova-lite-v1,amazon/nova-lite-v1,standard,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.00000006
amazon/nova-micro-v1,amazon/nova-micro-v1,standard,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.00000014
amazon/nova-micro-v1,amazon/nova-micro-v1,standard,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.000000035
amazon/nova-micro-v1,amazon/nova-micro-v1,standard,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.00000014
amazon/nova-micro-v1,amazon/nova-micro-v1,standard,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.000000035
amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,bedrock_converse:cache_read_tokens,0.000000625
amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,bedrock_converse:completion_tokens,0.0000125
amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,bedrock_converse:prompt_tokens,0.0000025
amazon/nova-pro-v1,amazon/nova-pro-v1,standard,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock (ZDR),bedrock_converse:completion_tokens,0.0000032
amazon/nova-pro-v1,amazon/nova-pro-v1,standard,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock (ZDR),bedrock_converse:prompt_tokens,0.0000008
