date,model_id,permaslug,variant,endpoint_id,provider_name,provider_slug,uptime_pct
2026-08-30,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,aion-labs,100
2026-08-31,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,aion-labs,100
2026-09-01,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1e93b0bb-eb0f-49bc-8fda-947105413b86,AionLabs,aion-labs,100
2026-08-30,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,openrouter,,,100
2026-08-31,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,openrouter,,,100
2026-09-01,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,openrouter,,,100
2026-08-30,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,aion-labs,100
2026-08-31,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,aion-labs,100
2026-09-01,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,8c8f827d-2bef-468a-8f9e-8e27b470de5e,AionLabs,aion-labs,100
2026-08-30,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,openrouter,,,100
2026-08-31,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,openrouter,,,100
2026-09-01,aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,openrouter,,,100
2026-08-30,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,aion-labs,100
2026-08-31,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,aion-labs,100
2026-09-01,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,AionLabs,aion-labs,100
2026-08-30,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,openrouter,,,100
2026-08-31,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,openrouter,,,100
2026-09-01,aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,openrouter,,,100
2026-08-30,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,aion-labs,100
2026-08-31,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,aion-labs,100
2026-09-01,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,fd456f92-a506-4249-8527-988e9c1d84b3,AionLabs,aion-labs,100
2026-08-30,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,openrouter,,,100
2026-08-31,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,openrouter,,,100
2026-09-01,aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,openrouter,,,100
2026-08-30,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock (1),amazon-bedrock,99.83668945494493
2026-08-31,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock (1),amazon-bedrock,99.94434284805598
2026-09-01,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,b1b489e5-7029-4ab2-9e12-5415b55b4afa,Amazon Bedrock (1),amazon-bedrock,99.65812923835678
2026-08-30,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock (2),amazon-bedrock,99.8835485919966
2026-08-31,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock (2),amazon-bedrock,99.98817267888823
2026-09-01,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,bccd64e6-206f-4723-a55e-25167dc4e253,Amazon Bedrock (2),amazon-bedrock,99.69774822427082
2026-08-30,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,openrouter,,,99.83876410814054
2026-08-31,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,openrouter,,,99.95236651799246
2026-09-01,amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,openrouter,,,99.66086484681526
2026-08-30,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock (1),amazon-bedrock,99.9959134746363
2026-08-31,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock (1),amazon-bedrock,99.99615909047263
2026-09-01,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,72eda073-d180-4482-8e4f-81051cb66f7e,Amazon Bedrock (1),amazon-bedrock,99.99632922451197
2026-08-30,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock (2),amazon-bedrock,99.99493645247861
2026-08-31,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock (2),amazon-bedrock,97.99121155053359
2026-09-01,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,908f5353-fba6-488c-8fd4-e9f041d32ac1,Amazon Bedrock (2),amazon-bedrock,98.46321484932741
2026-08-30,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,openrouter,,,99.99570635781068
2026-08-31,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,openrouter,,,99.52647755180071
2026-09-01,amazon/nova-lite-v1,amazon/nova-lite-v1,standard,openrouter,,,99.56555936211656
2026-08-30,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock (1),amazon-bedrock,71.63545324345287
2026-08-31,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock (1),amazon-bedrock,60.59001610666112
2026-09-01,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,474f0074-66f9-42f0-a866-81a2ffebb001,Amazon Bedrock (1),amazon-bedrock,84.39087724315436
2026-08-30,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock (2),amazon-bedrock,39.52944427952873
2026-08-31,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock (2),amazon-bedrock,11.122779765734714
2026-09-01,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,Amazon Bedrock (2),amazon-bedrock,28.551753246032007
2026-08-30,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,openrouter,,,64.43841478630247
2026-08-31,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,openrouter,,,46.49061153979442
2026-09-01,amazon/nova-micro-v1,amazon/nova-micro-v1,standard,openrouter,,,76.91885057721824
2026-08-30,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,amazon-bedrock,100
2026-08-31,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,amazon-bedrock,100
2026-09-01,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,6e4da481-6c8d-45d0-a3f5-11a9ba527485,Amazon Bedrock,amazon-bedrock,100
2026-08-30,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,openrouter,,,100
2026-08-31,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,openrouter,,,100
2026-09-01,amazon/nova-premier-v1,amazon/nova-premier-v1,standard,openrouter,,,100
2026-08-30,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock (1),amazon-bedrock,100
2026-08-31,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock (1),amazon-bedrock,100
2026-09-01,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,959381a4-8054-450f-9daf-5fcab64ba9aa,Amazon Bedrock (1),amazon-bedrock,99.94591671173607
2026-08-30,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,Amazon Bedrock (2),amazon-bedrock,99.93857493857494
2026-08-31,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,Amazon Bedrock (2),amazon-bedrock,100
2026-09-01,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,Amazon Bedrock (2),amazon-bedrock,100
2026-08-30,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,openrouter,,,99.97481742634096
2026-08-31,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,openrouter,,,100
2026-09-01,amazon/nova-pro-v1,amazon/nova-pro-v1,standard,openrouter,,,99.96242014280345
2026-08-30,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,Mancer,mancer,100
2026-08-31,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,Mancer,mancer,99.981234753237
2026-09-01,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,Mancer,mancer,100
2026-08-30,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,openrouter,,,100
2026-08-31,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,openrouter,,,99.981234753237
2026-09-01,anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,openrouter,,,100
2026-08-30,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,Amazon Bedrock,amazon-bedrock,99.99838569076293
2026-08-31,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,Amazon Bedrock,amazon-bedrock,99.98848711036065
2026-09-01,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,Amazon Bedrock,amazon-bedrock,99.99914368165508
2026-08-30,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,openrouter,,,99.99838569076293
2026-08-31,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,openrouter,,,99.98848711036065
2026-09-01,anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,openrouter,,,99.99914368165508
2026-08-30,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,212020fd-ae3e-48f8-a1b9-ba46a74b835b,Google Vertex (Europe),google-vertex,
2026-08-31,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,212020fd-ae3e-48f8-a1b9-ba46a74b835b,Google Vertex (Europe),google-vertex,
2026-09-01,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,212020fd-ae3e-48f8-a1b9-ba46a74b835b,Google Vertex (Europe),google-vertex,100
2026-08-30,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,52afa9b6-8499-4575-9932-f67190705711,Amazon Bedrock,amazon-bedrock,
2026-08-31,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,52afa9b6-8499-4575-9932-f67190705711,Amazon Bedrock,amazon-bedrock,
2026-09-01,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,52afa9b6-8499-4575-9932-f67190705711,Amazon Bedrock,amazon-bedrock,
2026-08-30,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,60a9611a-2aac-4918-9bf7-4879278d9fff,Azure (BYOK Only),azure,99.58312489578122
2026-08-31,anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,60a9611a-2aac-4918-9bf7-4879278d9fff,Azure (BYOK Only),azure,98.25825825825825
