model_id,permaslug,variant,name,created,context_length,modality,tokenizer,listed_input_usd_per_mtok,listed_output_usd_per_mtok,listed_cache_read_usd_per_mtok
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,Tencent: Hy4 preview,1787897375,1048576,text->text,Other,0.834,2.501,0.041999999999999996
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,Ling 3.0 Flash Fin (free),1787846290,262144,text->text,Other,0.0,0.0,
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,Qwen: Qwen3.8 Flash,1787773060,1000000,text+image+video->text,Qwen,0.15,0.47,0.016
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,Z.ai: GLM 5.3 Flash,1787752741,1310720,text+image+video->text,Other,0.075,0.25,0.015
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,Meta: Muse Spark 1.2 Contributor,1787336476,1048576,text+image+file+audio+video->text,Other,0.09999999999999999,0.19999999999999998,0.002
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,DeepSeek: DeepSeek V4 Flash Vision Exp,1787311563,1048576,text+image->text,DeepSeek,0.22,0.66,0.007
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,Tencent: Hy-MT2-1.8B,1787231581,8192,text->text,Other,0.044,0.17700000000000002,
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,Tencent: Hy-MT2-30B-A3B,1787231561,8192,text->text,Other,0.074,0.295,
~z-ai/glm-latest,~z-ai/glm-latest,standard,Z.ai: GLM Latest,1787151053,1048576,text->text,Router,1.4,4.4,0.26
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,Tencent: Hy-MT2-7B,1787148797,8192,text->text,Other,0.074,0.295,
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,Z.ai: GLM 5.3,1787086655,1048576,text->text,Other,1.4,4.4,0.26
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,Qwen: Qwen3.8 27B,1786722910,1000000,text+image+video->text,Qwen,0.425,2.5500000000000003,0.08499999999999999
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,Dots Studio: Dots3-Note Preview (free),1786680361,512000,text+image->text,Other,0.0,0.0,
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,Google: Gemini 3.7 Flash,1786640581,1048576,text+image+file+audio+video->text,Gemini,0.375,1.875,0.0375
google/gemini-3.7-flash:batch,google/gemini-3.7-flash-20260813,batch,Google: Gemini 3.7 Flash (batch),1786640581,1048576,text+image+file+audio+video->text,Gemini,0.1875,0.9375,0.01875
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,standard,ByteDance Seed: Seed 2.1 Turbo,1786552176,262144,text+image+video->text,Other,0.5,2.5,
qwen/qwen3.8-2.4t-a95b,qwen/qwen3.8-2.4t-a95b-20260812,standard,Qwen: Qwen3.8 2.4T A95B,1786551702,1048576,text->text,Qwen,2.0,6.0,0.25
qwen/qwen3.8-2.4t-a95b:batch,qwen/qwen3.8-2.4t-a95b-20260812,batch,Qwen: Qwen3.8 2.4T A95B (batch),1786551702,1010000,text->text,Qwen,2.5,6.25,0.5
bytedance-seed/seed-2.0-code,bytedance-seed/seed-2.0-code-20260730,standard,ByteDance Seed: Seed-2.0-Code,1786550701,262144,text+image+video->text,Other,0.5,3.0,
deepseek/deepseek-v4-pro-0813,deepseek/deepseek-v4-pro-20260813,standard,DeepSeek: DeepSeek V4 Pro 0813,1786549364,1048576,text->text,DeepSeek,0.66,1.9800000000000002,0.022
x-ai/grok-4.6,x-ai/grok-4.6-20260810,standard,SpaceXAI: Grok 4.6,1786548957,500000,text+image+file->text,Grok,2.0,6.0,0.5
liquid/lfm-2.5-2.6b:free,liquid/lfm-2.5-2.6b-20260811,free,LiquidAI: LFM2.5-2.6B (free),1786470519,65536,text->text,Other,0.0,0.0,
