model_id,permaslug,variant,n_endpoints,weighted_input_usd_per_mtok,weighted_output_usd_per_mtok,weighted_cache_hit_rate
aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,1,0.4087074494820896,1.5997138586880437,0.6520619229012291
aion-labs/aion-3.0,aion-labs/aion-3.0-20260707,standard,1,1.6934713280590685,6,0.5806766518944626
aion-labs/aion-3.0-mini,aion-labs/aion-3.0-mini-20260707,standard,1,0.35671061670181525,1.3995688608454813,0.6600878736945318
aion-labs/aion-rp-llama-3.1-8b,aion-labs/aion-rp-llama-3.1-8b,standard,1,0.7992236062777739,1.5937864489449687,0
amazon/nova-2-lite-v1,amazon/nova-2-lite-v1,standard,2,0.2998403161292594,2.4983679468666735,0
amazon/nova-lite-v1,amazon/nova-lite-v1,standard,2,0.05976480517356847,0.23455655374951667,0
amazon/nova-micro-v1,amazon/nova-micro-v1,standard,2,0.034803013271154246,0.13585968732610781,0
amazon/nova-premier-v1,amazon/nova-premier-v1,standard,1,2.499629312516323,12.499170931755952,0
amazon/nova-pro-v1,amazon/nova-pro-v1,standard,2,0.7998029911911558,3.198798829054232,0
anthracite-org/magnum-v4-72b,anthracite-org/magnum-v4-72b,standard,1,2.547865140098461,4.983980223835848,0
anthropic/claude-3-haiku,anthropic/claude-3-haiku,standard,1,0.24982307598792103,1.2481683284799223,0
anthropic/claude-fable-5,anthropic/claude-5-fable-20260609,standard,6,3.018346887932107,49.99916241142876,0.8011250987933938
anthropic/claude-fable-5:batch,anthropic/claude-5-fable-20260609,batch,1,0,0,0
anthropic/claude-haiku-4.5,anthropic/claude-4.5-haiku-20251001,standard,8,0.61164107099285,5.005044187865112,0.4647412733755833
anthropic/claude-haiku-4.5:batch,anthropic/claude-4.5-haiku-20251001,batch,1,0,0,0
anthropic/claude-opus-4,anthropic/claude-4-opus-20250522,standard,1,7.998539305812802,74.97417129903172,0.5421828454257007
anthropic/claude-opus-4.1,anthropic/claude-4.1-opus-20250805,standard,2,7.419456454884519,75,0.5816827503282098
anthropic/claude-opus-4.5,anthropic/claude-4.5-opus-20251124,standard,6,3.478232620914283,25.024112015632614,0.4153383462484697
anthropic/claude-opus-4.5:batch,anthropic/claude-4.5-opus-20251124,batch,1,0,0,0
anthropic/claude-opus-4.6,anthropic/claude-4.6-opus-20260205,standard,6,2.3182093440458043,25.004719517299687,0.6221746614159575
anthropic/claude-opus-4.6:batch,anthropic/claude-4.6-opus-20260205,batch,1,0,0,0
anthropic/claude-opus-4.7,anthropic/claude-4.7-opus-20260416,standard,8,2.0003342196053695,25.009804465487008,0.6992631797226762
anthropic/claude-opus-4.7:batch,anthropic/claude-4.7-opus-20260416,batch,1,0,0,0
anthropic/claude-opus-4.8,anthropic/claude-4.8-opus-20260528,standard,11,1.531843242633793,25.213713887959646,0.7908727068404424
anthropic/claude-opus-4.8:batch,anthropic/claude-4.8-opus-20260528,batch,1,0,0,0
anthropic/claude-opus-5,anthropic/claude-opus-5-20260723,standard,10,1.1222582963624972,25.20020919641203,0.8331240211784681
anthropic/claude-opus-5:batch,anthropic/claude-opus-5-20260723,batch,1,0,0,0
anthropic/claude-sonnet-4,anthropic/claude-4-sonnet-20250522,standard,5,1.9738420974364936,15,0.3980623913389645
anthropic/claude-sonnet-4.5,anthropic/claude-4.5-sonnet-20250929,standard,7,1.6907660857488196,15.002187073065985,0.513373283866007
anthropic/claude-sonnet-4.5:batch,anthropic/claude-4.5-sonnet-20250929,batch,1,0,0,0
anthropic/claude-sonnet-4.6,anthropic/claude-4.6-sonnet-20260217,standard,9,1.0148870987002658,15.010081195506931,0.7571730404521286
anthropic/claude-sonnet-4.6:batch,anthropic/claude-4.6-sonnet-20260217,batch,1,0,0,0.20954928447629897
anthropic/claude-sonnet-5,anthropic/claude-sonnet-5-20260630,standard,9,0.6507893517778996,10.007285318479628,0.7717347005406782
anthropic/claude-sonnet-5:batch,anthropic/claude-sonnet-5-20260630,batch,1,0,0,0.19356431569418156
arcee-ai/trinity-large-thinking,arcee-ai/trinity-large-thinking,standard,1,0.04728096202164742,0.7780175461506437,0.9321743233995675
baidu/ernie-4.5-vl-424b-a47b,baidu/ernie-4.5-vl-424b-a47b,standard,1,0.4187156801308536,1.2495987554117203,0
