model_id,provider_name,provider_slug,colo,endpoint_id,percentile,days_observed,throughput_tok_s,ttft_ms,e2e_ms,throughput_rank,ttft_rank,effective_input_usd_per_mtok,effective_output_usd_per_mtok,total_tokens
aion-labs/aion-2.0,AionLabs,aion-labs,default,1e93b0bb-eb0f-49bc-8fda-947105413b86,p50,8,61.0,705.75,6504.75,1,1,0.3929919727703786,1.5996517738928369,135427532
aion-labs/aion-3.0,AionLabs,aion-labs,default,8c8f827d-2bef-468a-8f9e-8e27b470de5e,p50,8,46.5,1228.25,21150.5,1,1,1.6587228350970473,6,880814733
aion-labs/aion-3.0-mini,AionLabs,aion-labs,default,0ad7ab68-a351-4a96-b2ef-fa8fe13adae3,p50,8,66.0,775.5,8737.5,1,1,0.32859908545272415,1.3995323033494755,196741351
aion-labs/aion-rp-llama-3.1-8b,AionLabs,aion-labs,default,fd456f92-a506-4249-8527-988e9c1d84b3,p50,8,12.0,817.5,1920.25,1,1,0.7996260969014434,1.5944784787970405,1013625
amazon/nova-2-lite-v1,Amazon Bedrock (1),amazon-bedrock,default,b1b489e5-7029-4ab2-9e12-5415b55b4afa,p50,8,64.5,533.0,1393.0,1,1,0.2997367464232295,2.4988183630127034,19734160
amazon/nova-2-lite-v1,Amazon Bedrock (2),amazon-bedrock,default,bccd64e6-206f-4723-a55e-25167dc4e253,p50,8,62.5,613.0,1431.0,2,2,0.2997191445675245,2.4980172398758245,13687323
amazon/nova-lite-v1,Amazon Bedrock (1),amazon-bedrock,default,72eda073-d180-4482-8e4f-81051cb66f7e,p50,8,107.5,347.0,1269.25,1,1,0.059787680929735174,0.23567380600038249,222872673
amazon/nova-lite-v1,Amazon Bedrock (2),amazon-bedrock,default,908f5353-fba6-488c-8fd4-e9f041d32ac1,p50,8,93.5,638.0,2082.5,2,2,0.05974902776061262,0.23682699459800252,30704526
amazon/nova-micro-v1,Amazon Bedrock (1),amazon-bedrock,default,474f0074-66f9-42f0-a866-81a2ffebb001,p50,8,84.5,437.0,1409.5,1,1,0.03476492154491212,0.1341262902147895,1704197836
amazon/nova-micro-v1,Amazon Bedrock (2),amazon-bedrock,default,b2fd24f9-80a2-4d47-8b3b-209fbc345d69,p50,8,50.5,599.0,1655.0,2,2,0.03467305029936621,0.132512131852524,146268676
amazon/nova-premier-v1,Amazon Bedrock,amazon-bedrock,default,6e4da481-6c8d-45d0-a3f5-11a9ba527485,p50,8,32.5,553.0,5170.75,1,1,2.4998790973209433,12.499135612202897,4897755
amazon/nova-pro-v1,Amazon Bedrock (2),amazon-bedrock,default,ffa54e7c-474e-4dc9-ac20-ef8015adb8d0,p50,8,42.0,649.25,2154.5,1,2,0.7997402986401062,3.19776207947721,1987212
amazon/nova-pro-v1,Amazon Bedrock (1),amazon-bedrock,default,959381a4-8054-450f-9daf-5fcab64ba9aa,p50,8,39.0,540.0,1819.0,2,1,0.79982160022488,3.197254088185834,3909674
anthracite-org/magnum-v4-72b,Mancer,mancer,default,7f8d0c76-0eab-4606-9f4c-d0b4414e2cf1,p50,8,16.0,813.5,9410.25,1,1,2.9991927249169725,4.995533536258302,9419825
anthropic/claude-3-haiku,Amazon Bedrock,amazon-bedrock,default,401c6f0f-caeb-4c84-92b7-e163dbccf7c2,p50,8,61.0,451.0,2089.25,1,1,0.24986707768325847,1.2480116992476546,244292207
anthropic/claude-fable-5,Google Vertex (Europe),google-vertex,default,212020fd-ae3e-48f8-a1b9-ba46a74b835b,p50,1,60,2994,7214,1,1,0.9128358208955224,54.725685785536164,2878
anthropic/claude-fable-5,Google Vertex,google-vertex,default,71317945-4da9-4076-ba2f-511f47ce3a24,p50,8,53.0,3731.5,11058.25,2,2,3.0620175151190274,49.99456220037863,13017840107
anthropic/claude-fable-5,Anthropic,anthropic,default,adbe7cef-baaa-428c-8b8d-59d93e17cb47,p50,8,44.5,5776.25,14834.75,3,3,3.6783922650410568,49.99999999999999,5421400791
anthropic/claude-fable-5,Azure (BYOK Only),azure,default,60a9611a-2aac-4918-9bf7-4879278d9fff,p50,8,44.0,6653.0,17649.0,4,5,6.745626489338327,50,26937628
