date,model_id,permaslug,variant,requests,prompt_tokens,completion_tokens,cached_prompt_tokens,reasoning_tokens,avg_prompt_tokens_per_request,avg_completion_tokens_per_request,avg_reasoning_tokens_per_request,completion_to_prompt_ratio,cache_hit_share_of_prompt,tool_calls,requests_with_tool_call_errors,media_prompt_requests,audio_prompt_requests,image_output_requests
2026-08-02,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,37686,413896280,39182011,239834642,15901622,10982.8,1039.7,422.0,0.0947,0.5795,161,2,0,0,0
2026-08-03,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,36460,397488857,37693199,226859607,14871100,10902.1,1033.8,407.9,0.0948,0.5707,85,4,0,0,0
2026-08-04,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,36277,380983201,35190000,215135400,13280580,10502.1,970.0,366.1,0.0924,0.5647,168,2,0,0,0
2026-08-05,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,45044,353162820,44242529,201501401,23049117,7840.4,982.2,511.7,0.1253,0.5706,67,1,0,0,0
2026-08-06,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,41716,304270678,47698944,174711441,25661392,7293.9,1143.4,615.1,0.1568,0.5742,124,12,0,0,0
2026-08-07,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,35004,363380493,39088394,215830939,17269271,10381.1,1116.7,493.4,0.1076,0.594,188,12,0,0,0
2026-08-08,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,29484,311047110,32995972,176395670,13979924,10549.7,1119.1,474.2,0.1061,0.5671,259,5,0,0,0
2026-08-09,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,33484,326731928,34260032,186229215,14744105,9757.9,1023.2,440.3,0.1049,0.57,143,8,0,0,0
2026-08-10,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,27195,281464131,29232266,167747955,12638044,10349.8,1074.9,464.7,0.1039,0.596,348,12,0,0,0
2026-08-11,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,34881,364957434,38258467,216496258,15879039,10462.9,1096.8,455.2,0.1048,0.5932,393,17,0,0,0
2026-08-12,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,33611,350575309,37916909,209177005,17473934,10430.4,1128.1,519.9,0.1082,0.5967,150,2,0,0,0
2026-08-13,aion-labs/aion-2.0,aion-labs/aion-2.0-20260223,standard,34547,341466232,38804516,200765325,18135131,9884.1,1123.2,524.9,0.1136,0.588,115,4,0,0,0
