model_id,permaslug,variant,rank,app_id,app_title,app_slug,app_origin_url,app_categories,total_tokens,total_requests
inception/mercury-2.5-preview,inception/mercury-2.5-preview-20260831,standard,1,4710829,Panwright,,https://panwright.com/,programming-app|native-app-builder,159745826,2593
inception/mercury-2.5-preview,inception/mercury-2.5-preview-20260831,standard,2,3682314,omp,,https://omp.sh/,cli-agent,67748671,1062
inception/mercury-2.5-preview,inception/mercury-2.5-preview-20260831,standard,3,2853275,pi,pi,https://pi.dev/,cli-agent,49491641,690
inception/mercury-2.5-preview,inception/mercury-2.5-preview-20260831,standard,4,3067206,Ante,,https://docs.antigma.ai/,cli-agent|personal-agent,42773723,520
inception/mercury-2.5-preview,inception/mercury-2.5-preview-20260831,standard,5,2222561,NexusTrade,,https://nexustrade.io/,,41249329,413
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,standard,1,4710829,Panwright,,https://panwright.com/,programming-app|native-app-builder,459429289,8177
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,standard,3,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,29005159,466
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,standard,4,2267189,Zed Editor,zed-editor,https://zed.dev/,programming-app,28926936,592
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,standard,5,190604,Cline,cline,https://cline.bot/,ide-extension|cli-agent,13773360,367
ibm-granite/granite-4.2-8b,ibm-granite/granite-4.2-8b-20260831,standard,6,2853275,pi,pi,https://pi.dev/,cli-agent,11589348,182
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,1,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,57417725098,589632
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,3,3909382,Command Code,,https://commandcode.ai/,programming-app|cli-agent|ide-extension|native-app-builder|personal-agent,7131824102,49652
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,6,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,6727896618,48533
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,7,3682314,omp,,https://omp.sh/,cli-agent,3176399481,18528
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,9,4706207,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,1838157235,11565
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,4,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,76558624305,879886
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,2,2262242,Kilo Code,kilo-code,https://kilocode.ai/,cli-agent|ide-extension,23440998516,446449
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,6,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,6387280188,82117
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,7,2725608,OpenClaw,openclaw,https://openclaw.ai/,personal-agent|cli-agent,6008224910,113855
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,8,2938662,Nous Research API,nous-research-api,https://api.nousresearch.com/,general-chat,3812360930,54124
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,2,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,19154404310,219920
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,5,2853275,pi,pi,https://pi.dev/,cli-agent,6377502568,63445
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,6,3682314,omp,,https://omp.sh/,cli-agent,5582857229,31805
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,7,4706207,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,3922438277,30092
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,8,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,3912617624,40747
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,2,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,1366899220588,11557528
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,3,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,962552155405,7786688
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,4,190604,Cline,cline,https://cline.bot/,ide-extension|cli-agent,691463224530,7428780
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,5,3682314,omp,,https://omp.sh/,cli-agent,396780383214,2524122
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,8,4706207,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,253860412587,1652545
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,1,3844484,Craft,craft-rpgs,https://craftrpgs.com/,roleplay|game|creative-writing|writing-assistant,57296446564,833536
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,2,3682314,omp,,https://omp.sh/,cli-agent,34133834179,217504
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,4,2668297,Codex,codex,https://openai.com/codex/,cli-agent,22952047480,208366
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,5,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,17942818728,203618
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,6,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,8507395607,77456
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,2,4706207,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,23807232468,136740
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,3,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,22612183518,165967
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,4,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,15821900239,131934
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,5,2853275,pi,pi,https://pi.dev/,cli-agent,13361581426,81456
deepseek/deepseek-v4-flash-vision-exp,deepseek/deepseek-v4-flash-vision-exp-20260821,standard,6,3682314,omp,,https://omp.sh/,cli-agent,12391134720,56335
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,1,4839725,news.mumtaaz.id,,https://news.mumtaaz.id/,,10573964,26478
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,2,2269224,Immersive Translate,,https://immersivetranslate.com/,,4052296,14305
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,3,4866664,auction-translator,,https://militaria321.com/,,3584300,14693
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,4,4768024,HashSQL solver-bound simulation,,https://github.com/hashsql/sim,,1950535,5949
tencent/hy-mt2-1.8b,tencent/hy-mt2-1.8b-20260521,standard,6,4684585,Irish Property Map,,https://irish-property-map.local/,,1572935,2488
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,1,2604926,TranslateBookWithLLM,,https://github.com/hydropix/TranslateBookWithLLM,,13132435,6153
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,2,2269224,Immersive Translate,,https://immersivetranslate.com/,,10140308,31750
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,3,4148949,DOPE i18n,,https://dope.xyz/,,8782985,5896
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,4,4875248,ZTAITrans,,https://ztaitran.local/,,8174683,10858
tencent/hy-mt2-30b-a3b,tencent/hy-mt2-30b-a3b-20260521,standard,5,2275362,SkyrimNet,,https://github.com/SkyrimNet,game,7046129,2105
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,1,4647822,FinePrint,,https://fineprint.bench/,,1889671,482
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,2,4719322,LangLore,,https://langlore.local/,,1235831,715
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,4,181596,Continue,,https://www.continue.dev/,,471238,120
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,7,4755007,VIBeS LLM alignment benchmark,,https://github.com/vibes-alignment,,274674,3480
tencent/hy-mt2-7b,tencent/hy-mt2-7b-20260521,standard,8,2269224,Immersive Translate,,https://immersivetranslate.com/,,200975,562
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,2,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,258855853944,2081247
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,4,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,178813462148,1469398
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,5,3682314,omp,,https://omp.sh/,cli-agent,106103791560,539053
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,6,2853275,pi,pi,https://pi.dev/,cli-agent,99681363815,989761
z-ai/glm-5.3,z-ai/glm-5.3-20260816,standard,7,3003505,Strix,,https://strix.ai/,cli-agent,75227980158,707798
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,2,2853275,pi,pi,https://pi.dev/,cli-agent,18560526688,287041
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,4,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,14966016478,212265
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,5,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,7225762544,78329
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,6,4706207,DeepSeek Harness,,https://github.com/deepseek-ai/deepseek-harness,,5231984683,94172
qwen/qwen3.8-27b,qwen/qwen3.8-27b-20260814,standard,7,2524738,LangChain,langchain,https://docs.langchain.com/,,4609023581,141195
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,1,2262242,Kilo Code,kilo-code,https://kilocode.ai/,cli-agent|ide-extension,104996977641,2614584
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,2,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,42097410307,642967
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,5,2627404,Claude Code,claude-code,https://claude.ai/code,cli-agent,17144879988,248870
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,6,2725608,OpenClaw,openclaw,https://openclaw.ai/,personal-agent|cli-agent,12761544647,308171
dots-studio/dots-3-note-preview:free,dots-studio/dots-3-note-preview-20260813,free,7,190604,Cline,cline,https://cline.bot/,ide-extension|cli-agent,5165388224,69736
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,3,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,601757092137,5395459
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,4,169295,Portkey AI,portkey-ai,https://portkey.ai/,programming-app,436613859644,6606901
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,5,3097485,Studs.gg,studsgg,https://studs.gg/,cloud-agent|game,183993780246,4931600
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,6,2853275,pi,pi,https://pi.dev/,cli-agent,125327704451,1265972
google/gemini-3.7-flash,google/gemini-3.7-flash-20260813,standard,8,2725608,OpenClaw,openclaw,https://openclaw.ai/,personal-agent|cli-agent,88920957544,1102698
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,standard,1,3067167,Hermes Agent,hermes-agent,https://hermes-agent.nousresearch.com/,personal-agent|cli-agent,225606534,2016
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,standard,6,2938662,Nous Research API,nous-research-api,https://api.nousresearch.com/,general-chat,106318137,1442
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,standard,7,2637375,Lemonade,lemonade,https://lemonade.gg/,programming-app,57178821,2339
bytedance-seed/seed-2-1-turbo,bytedance-seed/seed-2-1-turbo-20260810,standard,8,2273884,Context Arena,,https://contextarena.ai/,,56810435,954
