model_id,permaslug,variant,rank,colo
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,1,SJC
tencent/hy4-preview,tencent/hy4-preview-20260827,standard,2,SIN
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,1,FRA
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,2,SJC
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,3,SIN
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,4,IAD
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,5,CDG
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,6,AMS
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,7,LAX
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,8,GRU
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,9,ORD
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,10,LHR
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,11,EWR
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,12,BOM
inclusionai/ling-3.0-flash-fin:free,inclusionai/ling-3.0-flash-fin-20260827,free,13,NRT
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,1,IAD
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,2,IST
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,3,ATL
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,4,SIN
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,5,SJC
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,6,FRA
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,7,EWR
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,8,MUC
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,9,ORD
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,10,HEL
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,11,ARN
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,12,ICN
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,13,LAX
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,14,LHR
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,15,NRT
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,16,AMS
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,17,MRS
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,18,CDG
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,19,DFW
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,20,TXL
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,21,WAW
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,22,DUS
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,23,MAD
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,24,YYZ
qwen/qwen3.8-flash,qwen/qwen3.8-flash-20260826,standard,25,GRU
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,1,CMH
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,2,PDX
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,3,IAD
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,4,SJC
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,5,ORD
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,6,FRA
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,7,SIN
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,8,EWR
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,9,CDG
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,10,HEL
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,11,LAX
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,12,NRT
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,13,AMS
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,14,LHR
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,15,ICN
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,16,DFW
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,17,GRU
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,18,ARN
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,19,YYZ
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,20,FUK
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,21,WRO
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,22,BOS
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,23,WAW
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,24,ATL
z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,standard,25,MIA
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,1,BKK
meta/muse-spark-1.2-contributor,meta/muse-spark-1.2-contributor-20260805,standard,2,IAD
